R,G,B,x,y
0.14,0.76,0.56,355.61,311.92
0.18,0.15,0.64,414.69,184.25
0.4,0.13,0.62,389.04,126.32
0.83,0.44,0.11,181.06,247.74
0.12,0.11,0.43,582.83,139.99
0.66,0.68,0.27,303.17,251.79
0.41,0.78,0.17,304.25,381.03
0.74,0.09,0.09,143.59,62.79
0.89,0.18,0.12,174.35,121.59
0.63,0.28,0.08,93.48,241.32
0.54,0.39,0.07,74,380.68
0.85,0.33,0.1,172.26,200.43
0.49,0.2,0.63,338.76,187.34
0.2,0.16,0.65,503.76,152.06
0.16,0.18,0.68,436.23,192.61
0.69,0.11,0.39,259.21,71.27
0.78,0.39,0.1,145.86,247.88
0.57,0.82,0.12,286.24,370.32
0.04,0.29,0.23,441.97,464.26
0.57,0.21,0.06,74.25,214.69
0.84,0.31,0.09,211.72,221.14
0.11,0.69,0.86,428.56,306.94
0.88,0.78,0.11,206.33,345.59
0.43,0.67,0.44,324.85,254.82
0.75,0.14,0.52,285.16,114.26
0.74,0.83,0.08,261.06,359.38
0.48,0.15,0.64,372.35,113.46
0.86,0.58,0.12,205.33,279.49
0.33,0.81,0.26,321.77,322.68
0.59,0.27,0.07,80.96,245.34
0.1,0.66,0.6,413.27,382.31
0.11,0.75,0.67,388.59,348.57
0.83,0.8,0.08,240.87,343.06
0.24,0.21,0.7,378.72,200.62
0.64,0.81,0.21,300.48,280.75
0.11,0.5,0.82,495.17,287.41
0.75,0.81,0.12,283.82,292.93
0.45,0.14,0.61,384.93,102.42
0.35,0.17,0.67,369.7,176.88
0.09,0.59,0.69,479.97,382.25
0.79,0.14,0.33,287.63,172.35
0.86,0.57,0.12,262.24,248.04
0.32,0.8,0.35,328.68,304.87
0.11,0.77,0.68,384.08,343.65
0.07,0.4,0.58,570.17,347.99
0.85,0.51,0.12,195.16,266.58
0.16,0.32,0.8,454.22,222.35
0.77,0.38,0.28,294.44,215.59
0.36,0.78,0.39,327.26,286.31
0.87,0.62,0.11,230.3,279.43
0.79,0.55,0.12,140.52,307.57
0.75,0.28,0.08,129.48,211.65
0.69,0.16,0.62,306.33,125.55
0.73,0.77,0.16,290.61,272.62
0.73,0.08,0.26,238.2,74.5
0.89,0.12,0.13,215.04,130.5
0.18,0.13,0.61,424.02,175.71
0.39,0.14,0.63,383.87,140.88
0.87,0.64,0.12,196.88,296.71
0.21,0.79,0.31,332.42,363.66
